"name","skills","job_title","job_schedule_type","job_location","salary_year_avg","job_posted_date"
"Arsenault","tableau","Senior Data Analyst Remote","Full-time","Anywhere","$170,000.00","2023-09-20 10:00:49"
"Uber","excel","Manager, Data Analyst","Full-time","Anywhere","$167,000.00","2023-04-18 07:01:17"
"Uber","swift","Manager, Data Analyst","Full-time","Anywhere","$167,000.00","2023-04-18 07:01:17"
"Uber","r","Manager, Data Analyst","Full-time","Anywhere","$167,000.00","2023-04-18 07:01:17"
"Uber","python","Manager, Data Analyst","Full-time","Anywhere","$167,000.00","2023-04-18 07:01:17"
"Uber","sql","Manager, Data Analyst","Full-time","Anywhere","$167,000.00","2023-04-18 07:01:17"
"Uber","looker","Manager, Data Analyst","Full-time","Anywhere","$167,000.00","2023-04-18 07:01:17"
"Uber","tableau","Manager, Data Analyst","Full-time","Anywhere","$167,000.00","2023-04-18 07:01:17"
"Achieve","sql","Senior Manager, Data Analytics (Remote)","Full-time","Anywhere","$165,000.00","2023-07-06 23:01:00"
"Achieve","tableau","Senior Manager, Data Analytics (Remote)","Full-time","Anywhere","$165,000.00","2023-07-06 23:01:00"
"Achieve","looker","Senior Manager, Data Analytics (Remote)","Full-time","Anywhere","$165,000.00","2023-07-06 23:01:00"
"Get It Recruit - Information Technology","tableau","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"Get It Recruit - Information Technology","python","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"Get It Recruit - Information Technology","sql","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"Get It Recruit - Information Technology","pandas","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"Get It Recruit - Information Technology","matlab","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"Get It Recruit - Information Technology","looker","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"Get It Recruit - Information Technology","sas","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"Get It Recruit - Information Technology","sas","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"Get It Recruit - Information Technology","r","Data Analyst","Full-time","Anywhere","$165,000.00","2023-08-14 16:01:19"
"CEDARS-SINAI","sas","Principal Data Intelligence Analyst - Cardiac - Remote","Full-time","Anywhere","$163,500.00","2023-09-20 13:00:44"
"CEDARS-SINAI","crystal","Principal Data Intelligence Analyst - Cardiac - Remote","Full-time","Anywhere","$163,500.00","2023-09-20 13:00:44"
"CEDARS-SINAI","sas","Principal Data Intelligence Analyst - Cardiac - Remote","Full-time","Anywhere","$163,500.00","2023-09-20 13:00:44"
"CEDARS-SINAI","tableau","Principal Data Intelligence Analyst - Cardiac - Remote","Full-time","Anywhere","$163,500.00","2023-09-20 13:00:44"
